Gene Symbol,Gene Name,Entrez GeneID,Alternate Names,Chromosome Number,Chromosomal Location,UniprotID,OMIM,Molecular Function,Support for Autism,Evidence of Support,Number of gene association studies,Number of positive association studies,Positive Reference,Number of negative association studies,Negative Reference,Primay Reference,Most cited,Most Recent,Supporting
PHB,prohibitin,5245,"HEL-215, HEL-S-54e1,PHB",17,17q21.33,P35232,176705,"This gene is evolutionarily conserved, and its product is proposed to play a role in human cellular senescence and tumor suppression. Prohibitin inhibits DNA synthesis and may play a role in regulating mitochondrial respiration activity and in aging.",Genetic association,Analysis of genome-wide assocation study (GWAS) data from the Autism Genome Project (AGP) identified a SNP within the sixth intron of the PHB gene that significantly associated with ADI-R item 69 ('repetitive use of objects or interest in parts of objects'); this SNP resides in the promoter of the PHB gene and was shown to be significantly associated with thalamic volume (PHB is strongly expressed in the thalamus from prenatal to postnatal stages of development).,1,0,,0,,28533516,,,
PHF12,PHD finger protein 12,57649,PF1,17,17q11.2,Q96QT6,618645,Acts as a transcriptional repressor. Involved in recruitment of functional SIN3A complexes to DNA. Represses transcription at least in part through the activity of an associated histone deacetylase (HDAC). May also repress transcription in a SIN3A-independent manner through recruitment of functional TLE5 complexes to DNA.,Rare single gene variant,"Two de novo protein-truncating variants in the PHF12 gene were identified in ASD probands from the Autism Sequencing Consortium, while an additional protein-truncating variant in this gene was observed in case samples from the Danish iPSYCH study (Satterstrom et al., 2020).  TADA analysis of de novo variants from the Simons Simplex Collection and the Autism Sequencing Consortium and protein-truncating variants from iPSYCH in Satterstrom et al., 2020 identified PHF12 as a candidate gene with a false discovery rate (FDR) between 0.01 and 0.05 (0.01 < FDR  0.05).  Two de novo variants in the PHF12 gene (one frameshift, one missense) had previously been identified in ASD probands from the Autism Genetics Resource Exchange by whole-genome sequencing in Yuen et al., 2017.",2,0,,0,,31981491,,,28263302
PHF2,PHD finger protein 2,5253,"CENP-35, GRC5, JHDM1E",9,9q22.31,O75151,604351,Lysine demethylase that demethylates both histones and non-histone proteins. PHD finger genes are thought to belong to a diverse group of transcriptional regulators possibly affecting eukaryotic gene expression by influencing chromatin structure.,Rare single gene variant,Two de novo loss-of-function variants in the PHF2 gene have been identified in ASD probands from the Simons Simplex Collection (refs).,7,0,,0,,22542183,,"25363768,26401017","26402605,27824329,28263302,31981491"
PHF21A,PHD finger protein 21A,51317,"BHC80, BM-006",11,11p11.2,Q96BD5,608325,"The PHF21A gene encodes BHC80, a component of a BRAF35 (MIM 605535)/histone deacetylase (HDAC; see MIM 601241) complex (BHC) that mediates repression of neuron-specific genes through the cis-regulatory element known as repressor element-1 (RE1) or neural restrictive silencer (NRS) in non-neuronal cells.",Syndromic,"De novo likely-gene disruptive (LGD) variants in the PHF21A gene have been observed in an ASD proband from the Simons Simplex Collection (Iossifov et al., 2014) and in a proband with intellectual disability (Lelieveld et al., 2016).  An integrated meta-analysis of de novo mutation data from a combined dataset of 10,927 individuals with neurodevelopmental disorders identified PHF21A as a gene with an excess of LGD variants (false discovery rata < 5%, count >1) (Coe et al., 2018).  De novo translocations disrupting the PHF21A gene, as well as de novo truncating variants in PHF21A, have been identified in patients presenting with intellectual disability and dysmorphic facial features (Kim et al., 2012; Hamanaka et al., 2018).  Potocki-Shaffer syndrome (OMIM 601224) is a contiguous gene deletion syndrome characterized by craniofacial abnormalities, developmental delay, intellectual disability, multiple exostoses, and biparietal foramina; autistic behavior has also been reported to associate with this syndrome (Swarr et al., 2010).   Potocki-Shaffer syndrome involves genes on chromosome 11p11.2, and PHF21A has been proposed as a candidate gene responsible for at least some of the phenotypes observed in affected individuals.",10,0,,0,,25363768,,"30559488,31649809","20140962,22770980,27479843,30487643,31398340,31981491,32530565"
PHF3,PHD finger protein 3,23469,,6,6q12,Q92576,607789,This gene encodes a member of a PHD finger-containing gene family. This gene may function as a transcription factor and may be involved in glioblastomas development.,Rare single gene variant,"A de novo loss-of-function (LoF) variant in the PHF3 gene was first identified in an ASD proband from the Simons Simplex Collection (Iossifov et al., 2014). A second de novo LoF variant in this gene was identified by whole genome sequencing in an ASD proband from a multiplex family as part of the MSSNG initiative in Yuen et al., 2017. Based on the discovery of two de novo LoF variants in ASD cases, a probability of LoF intolerance rate (pLI) > 0.9, and a higher-than expected mutation rate (a false discovery rate < 15%), PHF3 was determined to be an ASD candidate gene in Yuen et al., 2017.",4,0,,0,,25363768,,28263302,"31398340,31452935"
PHF8,PHD finger protein 8,23133,"RP13-444K19.2, JHDM1F, MRXSSD, ZNF422",X,Xp11.22,Q9UPP1,300560,"The protein encoded by this gene is a histone lysine demethylase that preferentially acts on histones in the monomethyl or dimethyl states. The encoded protein requires Fe(2+) ion, 2-oxoglutarate, and oxygen for its catalytic activity. The protein has an N-terminal PHD finger and a central Jumonji C domain. This gene is thought to function as a transcription activator. Defects in this gene are a cause of syndromic X-linked Siderius type intellectual disability (MRXSSD).",Syndromic,"An in-frame deletion variant in PHF8 was found to segregate with high-functioning autism without other clinical features in a multiplex ASD family (Nava et al., 2012).",10,0,,0,,23092983,16199551,28126843,"17594395,17661819,25167861,25533962,31209962,31906484,32530565"
PHIP,pleckstrin homology domain interacting protein,55023,"BRWD2, DCAF14, WDR11, ndrp",6,6q14.1,Q8WWQ0,612870,Probable regulator of the insulin and insulin-like growth factor signaling pathways. Stimulates cell proliferation through regulation of cyclin transcription and has an anti-apoptotic activity through AKT1 phosphorylation and activation. Plays a role in the regulation of cell morphology and cytoskeletal organization.,Rare single gene variant,"A de novo potentially damaging missense variant in the PHIP gene was identified in an ASD proband from the Simons Simplex Collection (Iossifov et al., 2014); a de novo frameshift variant in this gene was identified in an ASD proband from the Autism Clinical and Genetic Resources in China (ACGC) cohort (Wang et al., 2016).",12,0,,0,,25363768,,"27900362,29209020,32492392","27824329,27841880,28191889,28333917,28708303,28940097,28965761,31167805"
PHRF1,PHD and ring finger domains 1,57661,"PPP1R125, RNF221",11,11p15.5,Q9P1Y6,611780,This gene encodes a protein of unknown function.,Rare single gene variant,"Three de novo missense variants in the PHRF1 gene were identified in simplex ASD probands, with no de novo events in this gene observed in 1,786 unaffected siblings from the Simons Simplex Collection (P=0.20) (De Rubeis et al., 2014; Iossifov et al., 2014; Krumm et al., 2015).",4,0,,0,,25363760,,26401017,"25363768,25961944"
PIK3CG,"phosphoinositide-3-kinase, catalytic, gamma polypeptide",5294,"PI3K, PIK3, PI3CG, PI3Kgamma",7,7q22.3,P48736,601232,The encoded protein has phosphatidylinositol 3-kinase activity.,Genetic Association,"Genetic association has been found between the PIK3CG gene and autism in an AGRE cohort (Serajee et al., 2003).",4,0,,0,,14627686,10669418,"16339142,16840732",
PIK3R2,phosphoinositide-3-kinase regulatory subunit 2,5296,"MPPH, P85B, p85, p85-BETA",19,19p13.11,O00459,603157,"Phosphatidylinositol 3-kinase (PI3K) is a lipid kinase that phosphorylates phosphatidylinositol and similar compounds, creating second messengers important in growth signaling pathways. PI3K functions as a heterodimer of a regulatory and a catalytic subunit. The protein encoded by this gene is a regulatory component of PI3K.",Syndromic,"Exome sequencing of families with megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome (MPPH) identified a recurrent missense variant in the PIK3R2 gene in 11 unrelated families; in one of these families, an affected male sibling was also diagnosed with Asperger syndrome, while one of two affected female siblings also had Asperger-like features (Riviere et al., 2012).",4,0,,0,,22729224,,,"25363768,28086757,29051493"
PINX1,"PIN2/TERF1 interacting, telomerase inhibitor 1",54984,LPTL; LPTS,8,8p23.1,Q96BK5,606505,The encoded protein is inhibitor of telomerase activity,Rare Single Gene variant,"Rare variants in the PINX1 gene have been identified in individuals with ASD (Pinto et al., 2010).",6,0,,0,,20531469,11701125,"18202258,19553660,20573420",31398340
PITX1,paired-like homeodomain 1,5307,BFT; POTX; PTX1,5,5q31.1,P78337.2,602149,Transcription factor,Genetic Association,"Genetic association has been found between the PITX1 gene and autism in an AGRE cohort (Philippi et al., 2007).",6,0,,1,22739633,18053270,10049363,"15960973,17710856",25363768
PJA1,praja ring finger ubiquitin ligase 1,64219,"PRAJA1, RNF70",X,Xq13.1,Q8NG27,300420,"This gene encodes an enzyme that has E2-dependent E3 ubiquitin-protein ligase activity. This enzyme belongs to a class of ubiquitin ligases that include a RING finger motif, and it can interact with the E2 ubiquitin-conjugating enzyme UbcH5B. This gene is located in an area of chromosome X where several X-linked cognitive disability disorders have been associated, and it has also been found as part of a contiguous gene deletion associated with craniofrontonasal syndrome, though a direct link to any disorder has yet to be demonstrated.",Syndromic,"A recurrent maternally-inherited missense variant in the PJA1 gene (p.Arg376Cys) that was experimentally shown to result in reduced protein levels was identified in seven Japanese male patients from five unrelated families presenting with neurodevelopmental disorders and trigonocephaly in Suzuki et al., 2020; four of these patients were diagnosed with autism spectrum disorder, while two others presented with autistic traits.",1,0,,0,,32530565,,,
PLAUR,"Plasminogen activator, urokinase receptor",5329,"CD87, U-PAR, UPAR, URKR",19,19q13.31,Q03405,173391,"This gene encodes the receptor for urokinase plasminogen activator and, given its role in localizing and promoting plasmin formation, likely influences many normal and pathological processes related to cell-surface plasminogen activation and localized degradation of the extracellular matrix. PLAUR is expressed in neurons of the rolandic area of the brain (at protein level).",Genetic association,"The PLAUR promoter variant rs344781 T allele was associated with ASD by both family-based association tests (P=0.006) and case-control analyses (P=0.007) in an association study of genes encoding proteins that regulate MET expression and activity in 664 families (2,712 individuals including 1,228 with ASD) and 312 unrelated controls (Campbell et al., 2008).",2,0,,0,,19360663,,,31398340
